  epoch 4 | step   2450 | loss=0.4293 ret=0.4276 dec=0.0171 | enc_lr=2.06e-05 head_lr=8.25e-04
  epoch 4 | step   2500 | loss=0.4645 ret=0.4630 dec=0.0157 | enc_lr=1.96e-05 head_lr=7.83e-04
  epoch 4 | step   2550 | loss=0.3984 ret=0.3968 dec=0.0156 | enc_lr=1.85e-05 head_lr=7.41e-04
  epoch 4 | step   2600 | loss=0.3797 ret=0.3781 dec=0.0157 | enc_lr=1.75e-05 head_lr=7.00e-04
  epoch 4 | step   2650 | loss=0.4420 ret=0.4405 dec=0.0149 | enc_lr=1.65e-05 head_lr=6.60e-04
  epoch 4 | step   2700 | loss=0.3792 ret=0.3776 dec=0.0164 | enc_lr=1.55e-05 head_lr=6.20e-04
  epoch 4 | step   2750 | loss=0.3651 ret=0.3636 dec=0.0154 | enc_lr=1.45e-05 head_lr=5.80e-04
  epoch 4 | step   2800 | loss=0.3978 ret=0.3962 dec=0.0166 | enc_lr=1.36e-05 head_lr=5.42e-04
  epoch 4 | step   2850 | loss=0.4377 ret=0.4362 dec=0.0155 | enc_lr=1.26e-05 head_lr=5.04e-04
  epoch 4 | step   2900 | loss=0.4271 ret=0.4255 dec=0.0167 | enc_lr=1.17e-05 head_lr=4.68e-04
  epoch 4 | step   2950 | loss=0.3359 ret=0.3343 dec=0.0161 | enc_lr=1.08e-05 head_lr=4.32e-04
  epoch 4 | step   3000 | loss=0.3793 ret=0.3778 dec=0.0157 | enc_lr=9.93e-06 head_lr=3.97e-04
  epoch 4 | step   3050 | loss=0.3381 ret=0.3364 dec=0.0170 | enc_lr=9.09e-06 head_lr=3.64e-04
  epoch 4 | step   3100 | loss=0.3792 ret=0.3775 dec=0.0172 | enc_lr=8.28e-06 head_lr=3.31e-04
  epoch 4 | step   3150 | loss=0.4287 ret=0.4269 dec=0.0176 | enc_lr=7.50e-06 head_lr=3.00e-04
  epoch 4 | step   3200 | loss=0.4115 ret=0.4098 dec=0.0172 | enc_lr=6.76e-06 head_lr=2.70e-04
  epoch 4 | step   3250 | loss=0.3168 ret=0.3152 dec=0.0165 | enc_lr=6.04e-06 head_lr=2.42e-04
Epoch 4/5 | loss=0.3920 ret=0.3904 dec=0.0162 | 1433s
  epoch 5 | step   3300 | loss=0.3551 ret=0.3535 dec=0.0158 | enc_lr=5.36e-06 head_lr=2.15e-04
  epoch 5 | step   3350 | loss=0.4191 ret=0.4175 dec=0.0161 | enc_lr=4.72e-06 head_lr=1.89e-04
  epoch 5 | step   3400 | loss=0.4214 ret=0.4198 dec=0.0162 | enc_lr=4.11e-06 head_lr=1.65e-04
  epoch 5 | step   3450 | loss=0.3116 ret=0.3099 dec=0.0166 | enc_lr=3.54e-06 head_lr=1.42e-04
  epoch 5 | step   3500 | loss=0.3560 ret=0.3543 dec=0.0168 | enc_lr=3.02e-06 head_lr=1.21e-04
  epoch 5 | step   3550 | loss=0.4007 ret=0.3989 dec=0.0172 | enc_lr=2.53e-06 head_lr=1.01e-04
  epoch 5 | step   3600 | loss=0.3340 ret=0.3322 dec=0.0176 | enc_lr=2.08e-06 head_lr=8.31e-05
  epoch 5 | step   3650 | loss=0.3191 ret=0.3174 dec=0.0171 | enc_lr=1.67e-06 head_lr=6.69e-05
  epoch 5 | step   3700 | loss=0.3468 ret=0.3451 dec=0.0170 | enc_lr=1.31e-06 head_lr=5.24e-05
  epoch 5 | step   3750 | loss=0.3436 ret=0.3420 dec=0.0167 | enc_lr=9.90e-07 head_lr=3.96e-05
  epoch 5 | step   3800 | loss=0.3727 ret=0.3710 dec=0.0165 | enc_lr=7.14e-07 head_lr=2.86e-05
  epoch 5 | step   3850 | loss=0.3871 ret=0.3854 dec=0.0170 | enc_lr=4.82e-07 head_lr=1.93e-05
  epoch 5 | step   3900 | loss=0.3682 ret=0.3665 dec=0.0171 | enc_lr=2.96e-07 head_lr=1.18e-05
  epoch 5 | step   3950 | loss=0.3680 ret=0.3663 dec=0.0170 | enc_lr=1.54e-07 head_lr=6.18e-06
  epoch 5 | step   4000 | loss=0.3835 ret=0.3818 dec=0.0169 | enc_lr=5.85e-08 head_lr=2.34e-06
  epoch 5 | step   4050 | loss=0.3983 ret=0.3965 dec=0.0177 | enc_lr=8.23e-09 head_lr=3.29e-07
Epoch 5/5 | loss=0.3591 ret=0.3574 dec=0.0169 | 1429s
